"Helység.megnevezése";"IRSZ";"Településrész";"Helység.KSH kódja";"Helység.jogállása";"Megye megnevezése";"Járáskódja";"Járásneve";"Járásszékhelye";"Polgármesteri hivatal, közös önkormányzati hivatal.kódja";"Polgármesteri hivatal, közös önkormányzati hivatal.székhelye";"Terület  (hektár)";"Lakó-népesség";"Lakások száma";"Becsült terület-adatokkal";"Nemzetiségi önkormányzat.bolgár";"Nemzetiségi önkormányzat.görög";"Nemzetiségi önkormányzat.horvát";"Nemzetiségi önkormányzat.lengyel";"Nemzetiségi önkormányzat.német";"Nemzetiségi önkormányzat.örmény";"Nemzetiségi önkormányzat.roma";"Nemzetiségi önkormányzat.román";"Nemzetiségi önkormányzat.ruszin";"Nemzetiségi önkormányzat.szerb";"Nemzetiségi önkormányzat.szlovák";"Nemzetiségi önkormányzat.szlovén";"Nemzetiségi önkormányzat.ukrán"
"Tarnaörs";3294;NA;"14128";"község";"Heves";"108 0";"Hevesi";"Heves";"2";"Helyben – Locally";3028;1795;747;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tarnaszentmária";3331;NA;"09052";"község";"Heves";"104 0";"Egri";"Eger";"6";"Verpelét";1100;219;180;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tarnaszentmiklós";3382;NA;"16160";"község";"Heves";"108 0";"Hevesi";"Heves";"5";"Pély";3500;828;419;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tarnazsadány";3283;NA;"17163";"község";"Heves";"108 0";"Hevesi";"Heves";"2";"Helyben – Locally";2519;1167;480;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tárnok";2461;NA;"04154";"nagyközség";"Pest";"127 0";"Érdi";"Érd";"1";"–";2361;9900;3461;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA
"Tárnokréti";9165;NA;"04172";"község";"Gyõr-Moson-Sopron";"086 0";"Csornai";"Csorna";"5";"Bõsárkány";954;165;103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tarpa";4931;NA;"04312";"nagyközség";"Szabolcs-Szatmár-Bereg";"159 0";"Vásárosnaményi";"Vásárosnamény";"2";"Helyben – Locally";4973;2590;890;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tarrós";7362;NA;"15635";"község";"Baranya";"025 0";"Hegyháti";"Sásd";"6";"Vásárosdombó";529;99;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Táska";8696;NA;"13693";"község";"Somogy";"144 0";"Marcali";"Marcali";"6";"Pusztakovácsi";2598;368;196;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tass";6098;NA;"20525";"község";"Bács-Kiskun";"043 0";"Kunszentmiklósi";"Kunszentmiklós";"1";"–";7473;2702;1180;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Taszár";7261;NA;"04932";"község";"Somogy";"143 0";"Kaposvári";"Kaposvár";"1";"–";1729;1937;810;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tát";2534;NA;"08758";"város";"Komárom-Esztergom";"110 0";"Esztergomi";"Esztergom";"2";"Helyben – Locally";1206;5273;2057;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Tata";2835;"Agostyán";"20127";"város";"Komárom-Esztergom";"114 1";"Tatai";"Tata";"2";"Helyben – Locally";7811;23441;10162;NA;NA;NA;NA;"1";"1";NA;"1";NA;NA;NA;NA;NA;NA
"Tata";2890;NA;"20127";"város";"Komárom-Esztergom";"114 1";"Tatai";"Tata";"2";"Helyben – Locally";7811;23441;10162;NA;NA;NA;NA;"1";"1";NA;"1";NA;NA;NA;NA;NA;NA
"Tatabánya";2800;NA;"18157";"megyeszékhely, megyei jogú város";"Komárom-Esztergom";"115 1";"Tatabányai";"Tatabánya";"1";"–";9142;65845;30844;NA;NA;"1";NA;"1";"1";NA;"1";NA;NA;NA;"1";NA;NA
"Tataháza";6451;NA;"14544";"község";"Bács-Kiskun";"034 0";"Bácsalmási";"Bácsalmás";"6";"Kunbaja";2610;1148;664;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tatárszentgyörgy";2375;NA;"27386";"község";"Pest";"125 0";"Dabasi";"Dabas";"1";"–";5506;1787;689;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tázlár";6236;NA;"24998";"község";"Bács-Kiskun";"039 0";"Kiskõrösi";"Kiskõrös";"6";"Bócsa";7338;1767;862;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Téglás";4243;NA;"23214";"város";"Hajdú-Bihar";"098 0";"Hajdúhadházi";"Hajdúhadház";"1";"–";3833;6235;2352;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tekenye";8793;NA;"24703";"község";"Zala";"198 0";"Zalaszentgróti";"Zalaszentgrót";"6";"Zalaszentgrót";696;408;234;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tékes";7381;NA;"27702";"község";"Baranya";"025 0";"Hegyháti";"Sásd";"6";"Vásárosdombó";1256;218;101;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Teklafalu";7973;NA;"32072";"község";"Baranya";"033 0";"Szigetvári";"Szigetvár";"6";"Kétújfalu";1676;246;132;NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Telekes";9812;NA;"29568";"község";"Vas";"182 0";"Vasvári";"Vasvár";"6";"Rábahídvég";1081;503;195;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Telekgerendás";5675;NA;"12681";"község";"Békés";"046 0";"Békéscsabai";"Békéscsaba";"6";"Újkígyós";7237;1324;661;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA
"Teleki";8626;NA;"23968";"község";"Somogy";"146 0";"Siófoki";"Siófok";"6";"Balatonföldvár";805;226;91;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Telki";2089;NA;"08280";"község";"Pest";"123 0";"Budakeszi";"Budakeszi";"1";"–";1047;4165;1305;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Telkibánya";3896;NA;"13763";"község";"Borsod-Abaúj-Zemplén";"057 0";"Gönci";"Gönc";"2";"Helyben – Locally";4682;507;369;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tengelic";7054;NA;"06901";"község";"Tolna";"172 0";"Paksi";"Paks";"1";"–";7093;2164;1001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tengeri";7834;NA;"13675";"község";"Baranya";"030 0";"Sellyei";"Sellye";"6";"Baksa";446;45;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tengõd";8668;NA;"32416";"község";"Somogy";"147 0";"Tabi";"Tab";"6";"Kapoly";3021;374;264;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tenk";3359;NA;"14076";"község";"Heves";"108 0";"Hevesi";"Heves";"6";"Heves";1234;1202;471;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tényõ";9111;NA;"11457";"község";"Gyõr-Moson-Sopron";"087 0";"Gyõri";"Gyõr";"6";"Kajárpéc";2638;1720;719;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tépe";4132;NA;"31042";"község";"Hajdú-Bihar";"096 0";"Derecskei";"Derecske";"5";"Sáránd";2322;1050;412;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Terem";4342;NA;"33358";"község";"Szabolcs-Szatmár-Bereg";"156 0";"Nyírbátori";"Nyírbátor";"6";"Nyírcsászári";4951;663;284;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Terény";2696;NA;"04844";"község";"Nógrád";"116 0";"Balassagyarmati";"Balassagyarmat";"5";"Magyarnándor";2435;339;243;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA
"Tereske";2652;NA;"24174";"község";"Nógrád";"119 0";"Rétsági";"Rétság";"6";"Kétbodony";1703;678;319;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Teresztenye";3757;NA;"28635";"község";"Borsod-Abaúj-Zemplén";"055 0";"Edelényi";"Edelény";"6";"Perkupa";869;31;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Terpes";3333;NA;"12229";"község";"Heves";"109 0";"Pétervásárai";"Pétervására";"6";"Sirok";220;195;100;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tés";8109;NA;"20570";"község";"Veszprém";"190 0";"Várpalotai";"Várpalota";"6";"Öskü";4903;777;421;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tésa";2636;NA;"19248";"község";"Pest";"137 0";"Szobi";"Szob";"6";"Kemence";438;75;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tésenfa";7843;NA;"32744";"község";"Baranya";"031 0";"Siklósi";"Siklós";"6";"Kovácshida";840;197;81;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Téseny";7834;NA;"20978";"község";"Baranya";"030 0";"Sellyei";"Sellye";"6";"Baksa";1208;286;110;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Teskánd";8991;NA;"08828";"község";"Zala";"197 0";"Zalaegerszegi";"Zalaegerszeg";"2";"Helyben – Locally";485;1085;406;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tét";9100;NA;"19035";"város";"Gyõr-Moson-Sopron";"092 1";"Téti";"Tét";"2";"Helyben – Locally";5635;4169;1491;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tetétlen";4184;NA;"19691";"község";"Hajdú-Bihar";"102 0";"Püspökladányi";"Püspökladány";"5";"Báránd";3211;1368;526;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tevel";7181;NA;"31459";"község";"Tolna";"170 0";"Bonyhádi";"Bonyhád";"2";"Helyben – Locally";2527;1305;567;NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Tibolddaróc";3423;NA;"30447";"község";"Borsod-Abaúj-Zemplén";"060 0";"Mezõkövesdi";"Mezõkövesd";"2";"Helyben – Locally";3031;1288;672;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiborszállás";4353;NA;"08952";"község";"Szabolcs-Szatmár-Bereg";"154 0";"Mátészalkai";"Mátészalka";"6";"Mérk";2552;955;367;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tihany";8237;NA;"30465";"község";"Veszprém";"185 0";"Balatonfüredi";"Balatonfüred";"2";"Helyben – Locally";2733;1353;703;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tikos";8731;NA;"17844";"község";"Somogy";"144 0";"Marcali";"Marcali";"6";"Balatonszentgyörgy";335;138;52;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tilaj";8782;NA;"27951";"község";"Zala";"197 0";"Zalaegerszegi";"Zalaegerszeg";"6";"Nagykapornak";816;177;106;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Timár";4466;NA;"24475";"község";"Szabolcs-Szatmár-Bereg";"157 0";"Nyíregyházi";"Nyíregyháza";"5";"Tiszanagyfalu";2182;1245;508;NA;NA;NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA
"Tinnye";2086;NA;"07108";"község";"Pest";"133 0";"Pilisvörösvári";"Pilisvörösvár";"6";"Pilisjászfalu";1610;1769;645;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszaadony";4833;NA;"09423";"község";"Szabolcs-Szatmár-Bereg";"159 0";"Vásárosnaményi";"Vásárosnamény";"6";"Tiszakerecseny";1563;664;260;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszaalpár";6066;"Alpár";"24545";"nagyközség";"Bács-Kiskun";"044 0";"Tiszakécskei";"Tiszakécske";"1";"–";9113;4938;2291;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszaalpár";6067;"Tiszaújfalu";"24545";"nagyközség";"Bács-Kiskun";"044 0";"Tiszakécskei";"Tiszakécske";"1";"–";9113;4938;2291;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszabábolna";3465;NA;"02291";"község";"Borsod-Abaúj-Zemplén";"060 0";"Mezõkövesdi";"Mezõkövesd";"6";"Mezõkövesd";3269;328;271;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszabecs";4951;NA;"17817";"nagyközség";"Szabolcs-Szatmár-Bereg";"150 0";"Fehérgyarmati";"Fehérgyarmat";"2";"Helyben – Locally";1714;1439;415;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszabercel";4474;NA;"03850";"község";"Szabolcs-Szatmár-Bereg";"151 0";"Ibrányi";"Ibrány";"2";"Helyben – Locally";3138;1776;744;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszabezdéd";4624;NA;"20172";"község";"Szabolcs-Szatmár-Bereg";"160 0";"Záhonyi";"Záhony";"2";"Helyben – Locally";1864;1781;665;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszabõ";5232;NA;"10773";"község";"Jász-Nagykun-Szolnok";"164 0";"Kunhegyesi";"Kunhegyes";"1";"–";3504;2109;456;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszabura";5235;NA;"22770";"község";"Jász-Nagykun-Szolnok";"164 0";"Kunhegyesi";"Kunhegyes";"1";"–";4520;2934;850;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszacsécse";4947;NA;"24448";"község";"Szabolcs-Szatmár-Bereg";"150 0";"Fehérgyarmati";"Fehérgyarmat";"6";"Tiszakóród";480;223;114;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszacsege";4066;NA;"15644";"város";"Hajdú-Bihar";"093 0";"Balmazújvárosi";"Balmazújváros";"1";"–";13640;4515;2094;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszacsermely";3972;NA;"29133";"község";"Borsod-Abaúj-Zemplén";"054 0";"Cigándi";"Cigánd";"6";"Tiszakarád";2028;499;214;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszadada";4455;NA;"06433";"község";"Szabolcs-Szatmár-Bereg";"158 0";"Tiszavasvári";"Tiszavasvári";"1";"–";4875;2110;926;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszaderzs";5243;NA;"16230";"község";"Jász-Nagykun-Szolnok";"168 0";"Tiszafüredi";"Tiszafüred";"5";"Tiszaszõlõs";2719;1037;632;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszadob";4456;NA;"12593";"nagyközség";"Szabolcs-Szatmár-Bereg";"158 0";"Tiszavasvári";"Tiszavasvári";"1";"–";8258;2735;1175;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszadorogma";3466;NA;"03717";"község";"Borsod-Abaúj-Zemplén";"059 0";"Mezõcsáti";"Mezõcsát";"6";"Tiszatarján";4661;321;247;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszaeszlár";4446;"Bashalom";"09113";"község";"Szabolcs-Szatmár-Bereg";"158 0";"Tiszavasvári";"Tiszavasvári";"1";"–";5453;2422;1033;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Tiszaeszlár";4464;NA;"09113";"község";"Szabolcs-Szatmár-Bereg";"158 0";"Tiszavasvári";"Tiszavasvári";"1";"–";5453;2422;1033;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Tiszaföldvár";5430;NA;"13815";"város";"Jász-Nagykun-Szolnok";"165 0";"Kunszentmártoni";"Kunszentmárton";"1";"–";8034;10417;4690;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszaföldvár";5461;"Homok";"13815";"város";"Jász-Nagykun-Szolnok";"165 0";"Kunszentmártoni";"Kunszentmárton";"1";"–";8034;10417;4690;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszafüred";5350;NA;"29726";"város";"Jász-Nagykun-Szolnok";"168 1";"Tiszafüredi";"Tiszafüred";"1";"–";16219;10631;5242;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszafüred";5358;"Tiszaörvény";"29726";"város";"Jász-Nagykun-Szolnok";"168 1";"Tiszafüredi";"Tiszafüred";"1";"–";16219;10631;5242;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszafüred";5359;"Kócsújfalu";"29726";"város";"Jász-Nagykun-Szolnok";"168 1";"Tiszafüredi";"Tiszafüred";"1";"–";16219;10631;5242;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszagyenda";5233;NA;"30304";"község";"Jász-Nagykun-Szolnok";"164 0";"Kunhegyesi";"Kunhegyes";"5";"Tiszaroff";3693;943;518;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszagyulaháza";4097;NA;"30845";"község";"Hajdú-Bihar";"099 0";"Hajdúnánási";"Hajdúnánás";"6";"Hajdúnánás";2078;670;342;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszaigar";5361;NA;"28699";"község";"Jász-Nagykun-Szolnok";"168 0";"Tiszafüredi";"Tiszafüred";"2";"Helyben – Locally";3404;789;377;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszainoka";5464;NA;"20446";"község";"Jász-Nagykun-Szolnok";"165 0";"Kunszentmártoni";"Kunszentmárton";"6";"Cibakháza";1792;378;213;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszajenõ";5094;NA;"29346";"község";"Jász-Nagykun-Szolnok";"167 0";"Szolnoki";"Szolnok";"2";"Helyben – Locally";2819;1522;812;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszakanyár";4493;NA;"08554";"község";"Szabolcs-Szatmár-Bereg";"153 0";"Kisvárdai";"Kisvárda";"6";"Dombrád";1551;1501;539;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszakarád";3971;NA;"13976";"község";"Borsod-Abaúj-Zemplén";"054 0";"Cigándi";"Cigánd";"2";"Helyben – Locally";4756;2335;895;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszakécske";6060;NA;"30623";"város";"Bács-Kiskun";"044 1";"Tiszakécskei";"Tiszakécske";"1";"–";13327;12064;5364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszakécske";6062;"Tiszabög";"30623";"város";"Bács-Kiskun";"044 1";"Tiszakécskei";"Tiszakécske";"1";"–";13327;12064;5364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszakerecseny";4834;NA;"04446";"község";"Szabolcs-Szatmár-Bereg";"159 0";"Vásárosnaményi";"Vásárosnamény";"2";"Helyben – Locally";2387;955;393;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszakeszi";3458;NA;"13888";"község";"Borsod-Abaúj-Zemplén";"059 0";"Mezõcsáti";"Mezõcsát";"1";"–";4617;2531;1029;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszakóród";4946;NA;"08794";"község";"Szabolcs-Szatmár-Bereg";"150 0";"Fehérgyarmati";"Fehérgyarmat";"2";"Helyben – Locally";1669;745;306;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszakürt";5471;NA;"30386";"község";"Jász-Nagykun-Szolnok";"165 0";"Kunszentmártoni";"Kunszentmárton";"2";"Helyben – Locally";2837;1386;755;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszaladány";3929;NA;"19381";"község";"Borsod-Abaúj-Zemplén";"069 0";"Tokaji";"Tokaj";"6";"Tokaj";2219;635;326;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszalök";4447;"Kisfástanya";"23524";"város";"Szabolcs-Szatmár-Bereg";"158 0";"Tiszavasvári";"Tiszavasvári";"2";"Helyben – Locally";5873;5228;2225;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszalök";4450;NA;"23524";"város";"Szabolcs-Szatmár-Bereg";"158 0";"Tiszavasvári";"Tiszavasvári";"2";"Helyben – Locally";5873;5228;2225;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszalúc";3565;NA;"28398";"nagyközség";"Borsod-Abaúj-Zemplén";"066 0";"Szerencsi";"Szerencs";"1";"–";4488;4780;1866;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszamogyorós";4645;NA;"11907";"község";"Szabolcs-Szatmár-Bereg";"160 0";"Záhonyi";"Záhony";"6";"Eperjeske";1025;704;263;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszanagyfalu";4463;NA;"27252";"község";"Szabolcs-Szatmár-Bereg";"157 0";"Nyíregyházi";"Nyíregyháza";"2";"Helyben – Locally";2705;1765;693;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Tiszanána";3385;NA;"07083";"község";"Heves";"108 0";"Hevesi";"Heves";"2";"Helyben – Locally";6814;2443;1042;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszaörs";5362;NA;"15787";"község";"Jász-Nagykun-Szolnok";"168 0";"Tiszafüredi";"Tiszafüred";"5";"Tiszaszentimre";3710;1361;672;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszapalkonya";3587;NA;"08633";"község";"Borsod-Abaúj-Zemplén";"068 0";"Tiszaújvárosi";"Tiszaújváros";"2";"Helyben – Locally";1349;1408;626;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszapüspöki";5211;NA;"03373";"község";"Jász-Nagykun-Szolnok";"169 0";"Törökszentmiklósi";"Törökszentmiklós";"1";"–";3745;1982;850;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszarád";4503;NA;"10205";"község";"Szabolcs-Szatmár-Bereg";"152 0";"Kemecsei";"Kemecse";"5";"Kék";923;564;196;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszaroff";5234;NA;"20181";"község";"Jász-Nagykun-Szolnok";"164 0";"Kunhegyesi";"Kunhegyes";"2";"Helyben – Locally";5249;1522;835;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszasas";5474;NA;"21494";"község";"Jász-Nagykun-Szolnok";"165 0";"Kunszentmártoni";"Kunszentmárton";"2";"Helyben – Locally";2879;1015;548;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszasüly";5061;NA;"17695";"község";"Jász-Nagykun-Szolnok";"167 0";"Szolnoki";"Szolnok";"5";"Kõtelek";9177;1451;754;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszaszalka";4831;NA;"13541";"község";"Szabolcs-Szatmár-Bereg";"159 0";"Vásárosnaményi";"Vásárosnamény";"6";"Csaroda";1495;882;363;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszaszentimre";5322;NA;"22789";"község";"Jász-Nagykun-Szolnok";"168 0";"Tiszafüredi";"Tiszafüred";"2";"Helyben – Locally";6561;1954;998;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszaszentimre";5323;"Újszentgyörgy";"22789";"község";"Jász-Nagykun-Szolnok";"168 0";"Tiszafüredi";"Tiszafüred";"2";"Helyben – Locally";6561;1954;998;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszaszentmárton";4628;NA;"27544";"község";"Szabolcs-Szatmár-Bereg";"160 0";"Záhonyi";"Záhony";"5";"Tiszabezdéd";1446;1078;396;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszasziget";6756;NA;"16966";"község";"Csongrád";"075 0";"Szegedi";"Szeged";"5";"Kübekháza";2688;1710;648;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszaszõlõs";5244;NA;"07852";"község";"Jász-Nagykun-Szolnok";"168 0";"Tiszafüredi";"Tiszafüred";"2";"Helyben – Locally";4779;1586;704;NA;NA;"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Tiszatardos";3928;NA;"30298";"község";"Borsod-Abaúj-Zemplén";"069 0";"Tokaji";"Tokaj";"6";"Tarcal";893;218;173;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszatarján";3589;NA;"30377";"község";"Borsod-Abaúj-Zemplén";"059 0";"Mezõcsáti";"Mezõcsát";"2";"Helyben – Locally";4039;1391;504;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszatelek";4486;"Kétérköz";"14447";"község";"Szabolcs-Szatmár-Bereg";"151 0";"Ibrányi";"Ibrány";"2";"Helyben – Locally";3379;1377;548;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszatelek";4487;NA;"14447";"község";"Szabolcs-Szatmár-Bereg";"151 0";"Ibrányi";"Ibrány";"2";"Helyben – Locally";3379;1377;548;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tiszatenyõ";5082;NA;"09627";"község";"Jász-Nagykun-Szolnok";"169 0";"Törökszentmiklósi";"Törökszentmiklós";"2";"Helyben – Locally";2355;1488;675;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
